paper_id,title,UMAP1,UMAP2,Publication_Year,Cited_by_count,DOI,event,journal,Author
W2132341951,Real-Time DNA Sequencing from Single Polymerase Molecules,7.1792474,10.167264,2009,3731,https://doi.org/10.1126/science.1162986,PacBioロングリードの最初の論文,Science,John Eid; Adrian Fehr; Jeremy Gray; Khai Luong; John Lyle; Geoff Otto; Paul Peluso; David R. Rank; Primo Baybayan; Brad Bettman; Arkadiusz Bibi__o; Keith P. Bjornson; Bidhan Chaudhuri; Fred C. Christians; Ronald L. Cicero; Sonya Clark; Ravindra V. Dalal; Alex D. deWinter; John W. Dixon; Mathieu Foquet; Alfred Gaertner; Paul Hardenbol; Cheryl Heiner; Kevin Hester; David W. Holden; Gregory L. Kearns; Xiangxu Kong; Ronald Kuse; Y. Lacroix; Steven Lin; P. M. Lundquist; Congcong Ma; Patrick Marks; Mark Maxham; Devon Murphy; Insil Park; Thang Pham; Michael Phillips; Joy Roy; Robert Sebra; Gene Shen; Jon M. Sorenson; Austin B. Tomaney; Kevin Travers; Mark O. Trulson; John Vieceli; Jeffrey Wegener; Dawn Wu; Alicia Yang; D. Zaccarin; Peter Y. Zhao; Frank Zhong; Jonas Korlach; Stephen Turner
W2087671769,"Microbial diversity in the deep sea and the underexplored ""rare biosphere""",1.8485727,7.159873,2006,3704,https://doi.org/10.1073/pnas.0605127103,深海の微生物多様性（Pyrosequencing）,Proceedings of the National Academy of Sciences,Mitchell L. Sogin; Hilary G. Morrison; Julie A. Huber; David B. Mark Welch; Susan M. Huse; Phillip R. Neal; Jes_s M. Arrieta; Gerhard J. Herndl
W2087671769,"Microbial Diversity in the Deep Sea and the Underexplored ""Rare Biosphere""",4.8545513,4.4622855,2006,3704,https://doi.org/10.1073/pnas.0605127103,深海の微生物多様性（Pyrosequencing）,Proceedings of the National Academy of Sciences,Mitchell L. Sogin; Hilary G. Morrison; Julie A. Huber; David B. Mark Welch; Susan M. Huse; Phillip R. Neal; Jes_s M. Arrieta; Gerhard J. Herndl
W2100882223,The complete genome sequence of the Gram-positive bacterium Bacillus subtilis,3.2407076,3.4130127,1997,3676,https://doi.org/10.1038/36786,枯草菌の完全ゲノム,Nature,Frank Kunst; Naotaka Ogasawara; Ivan Moszer; Alberto Albertini; G. Alloni; Vasco Azevedo; Michela G. Bertero; P. Bessi_res; A. Bolotin; S. Borchert; Rainer Borriss; Laurent Boursier; Alain Brans; Martha Braun; S. C. Brignell; Sierd Bron; Sophie Brouillet; Carlo V. Bruschi; B. A. Caldwell; V_ronique Capuano; Nick Carter; Soo-Keun Choi; Jean-Jacques Codani; Ian F. Connerton; Nicola Cummings; Richard A. Daniel; Fran_ois Denizot; Kevin M. Devine; Andreas D_sterh_ft; S. Dusko Ehrlich; Peter T. Emmerson; K.-D. Entian; Jeff Errington; C. Fabret; E Ferrari; D. Foulger; C. Fritz; Masaya Fujita; Yusuke Fujita; S. Fuma; A. Galizzi; Nathalie Galleron; Sa‐Youl Ghim; Philippe Glaser; A Goffeau; Elizabeth J. Golightly; Guido Grandi; G. Guiseppi; B. J. Guy; Koki Haga; Jacques Haiech; Colin R. Harwood; Alain H_naut; H. Hilbert; Siger Holsappel; Satoyo Hosono; Marie‐Francoise Hullo; Mitsuhiro Itaya; Louis Jones; Bernard Joris; Dimitri Karamata; Yasuhiro Kasahara; Maude Klaerr-Blanchard; C Klein; Yasumasa Kobayashi; P. Koetter; Gregory M. Koningstein; Susanne Krogh; Miyuki Kumano; Kenji L. Kurita; Alla Lapidus; Sophie Lardinois; J_rgen Lauber; Vladimir Lazarevi_; Siow Ming Lee; Anna Levine; Haizhou Liu; S Masuda; Catherine Mau_l; Claudine M_digue; Nadine Medina; Rafael P. Mellado; Mamoru Mizuno; D. Moestl; S. Nakai; Michiel Noback; David Noone; Mary O’Reilly; K. Ogawa; Atsushi Ogiwara; Bauke Oudega; S.-H. Park; V__ctor Parro; Thomas Pohl; Daniel Portetelle; Steffen Porwollik; A. M. Prescott; Elena Presecan; Petar Puji_; B. Purnelle; G Rapoport; Michael W. Rey; S. Reynolds; Michael A. Rieger; Carlo Rivolta; Eduardo P. C. Rocha; Benjamin Roche; Matthias Rose; Yoshito Sadaie; Tsutomu Sato; Elizabeth Scanlan; Sibylle Schleich; R. Schroeter; F. Scoffone; JoAnn Sekiguchi; Agnieszka Sekowska; Simone J. S_ror; Pascale Serror; Byung Sik Shin; Blazenka Soldo; Alexe_ Sorokin; Eliana MC Tacconi; Toshiyuki Takagi; H. Takahashi; Ken‐Ichi Takemaru; Michio Takeuchi; Akiko Tamakoshi; Toshihiro Tanaka; P. Terpstra; A. Tognoni; Valentina Tosato; Shigeki Uchiyama; M. Vandenbol; F. Vannier; A. Vassarotti; Alain Viari; R. Wambutt; E. Wedler; Holger Wedler; Thomas Weitzenegger; P. Winters; Anil Wipat; Hiroki Yamamoto; K Yamane; Kenji Yasumoto; K. Yata; Ken‐ichi Yoshida; Hirofumi Yoshikawa; Emmanuelle Zumstein; Hirofumi Yoshikawa; Antoine Danchin
W2889019390,A standardized bacterial taxonomy based on genome phylogeny substantially revises the tree of life,5.8532014,8.36241,2018,3636,https://doi.org/10.1038/nbt.4229,GTDB(Genome Taxonomy Database) の最初のコンセプト提案論文,Nature Biotechnology,Donovan H. Parks; Maria Chuvochina; David W. Waite; Christian Rinke; Adam Skarshewski; Pierre-Alain Chaumeil; Philip Hugenholtz
W2166064969,The 3′-Terminal Sequence of Escherichia coli 16S Ribosomal RNA: Complementarity to Nonsense Triplets and Ribosome Binding Sites,6.131923,1.1795939,1974,3620,https://doi.org/10.1073/pnas.71.4.1342,シャイン・ダルガノ配列,Proceedings of the National Academy of Sciences,John Shine; L. Dalgarno
W2804910112,The biomass distribution on Earth,1.4310737,7.268591,2018,3509,https://doi.org/10.1073/pnas.1711842115,地球におけるバイオマスの分布の試算,Proceedings of the National Academy of Sciences,Yinon M. Bar‐On; Rob Phillips; Ron Milo
W2167435540,STUDIES ON THE CHEMICAL NATURE OF THE SUBSTANCE INDUCING TRANSFORMATION OF PNEUMOCOCCAL TYPES,2.3499732,9.69348,1944,3247,https://doi.org/10.1084/jem.79.2.137,遺伝子の実態がDNAであることを示唆（エイブリーの実験）,The Journal of Experimental Medicine,Oswald T. Avery; Colin M. MacLeod; Maclyn McCarty
W2294707565,A bacterium that degrades and assimilates poly (ethylene terephthalate),2.3405685,9.698109,2016,3049,https://doi.org/10.1126/science.aad6359,ポリエチレンテレフタレート(PET)分解菌の発見(Ideonella sakaiensis 201-F6),Science,Shosuke Yoshida; Kazumi Hiraga; Toshihiko Takehana; Ikuo Taniguchi; Hironao Yamaji; Yasuhito Maeda; Kiyotsuna Toyohara; Kenji Miyamoto; Yoshiharu Kimura; K_hei Oda
W2072812562,Rapid determination of 16S ribosomal RNA sequences for phylogenetic analyses.,6.0461087,10.141328,1985,3039,https://doi.org/10.1073/pnas.82.20.6955,16S rRNAに基づく環境微生物の分類(分子生態学の始まり),Proceedings of the National Academy of Sciences,David Lane; B Pace; G J Olsen; David A. Stahl; Mitchell L. Sogin; Norman R. Pace
