title,UMAP1,UMAP2
Cloning of the Alcaligenes eutrophus genes for synthesis of poly-beta-hydroxybutyric acid (PHB) and synthesis of PHB in Escherichia coli,7.2283883,1.80719
Profiling gene expression to distinguish the likely active diazotrophs from a sea of genetic potential in marine sediments,0.07273512,6.581632
Are viruses driving microbial diversification and diversity?,2.7116408,6.549323
Multiple Sequence Alignment Using ClustalW and ClustalX,9.195846,9.461065
Novel major archaebacterial group from marine plankton,2.542164,8.769493
Use of nuclepore filters for counting bacteria by fluorescence microscopy,3.3451786,10.911476
In vitro transcription of the origin region of replication of the Escherichia coli chromosome.,6.1019955,0.8802075
Evidence for symmetric chromosomal inversions around the replication origin in bacteria,4.487599,2.3739707
Primase couples leading- and lagging-strand DNA synthesis from oriC.,5.4679337,0.5015561
MUSCLE: a multiple sequence alignment method with reduced time and space complexity,8.903404,10.234381
Distribution of a consortium between unicellular algae and the N 2 fixing cyanobacterium UCYN ‐ A in the North Atlantic Ocean,-2.525149,6.5842624
The bacterial pan-genome:a new paradigm in microbiology.,6.2617145,8.29165
Genome phylogeny based on gene content,5.3245244,8.518159
An Exonuclease Induced by Bacteriophage λ,6.4247413,0.5450923
An Exonuclease Induced by Bacteriophage λ,6.573596,0.6161347
Journey to the Center of Biology,6.5209465,5.663226
Isolation and characterization of the unicellular diazotrophic cyanobacterium Group C TW3 from the tropical western Pacific Ocean,-2.6493814,6.5924673
Molecular biological and isotopic biogeochemical prognoses of the nitrification‐driven dynamic microbial nitrogen cycle in hadopelagic sediments,0.05121733,6.3150563
SAR11 lipid renovation in response to phosphate starvation,-0.2224535,5.176226
"Simple, rapid method for direct isolation of nucleic acids from aquatic environments",3.5643754,10.758499
Patterns and ecological drivers of ocean viral communities,1.3009739,3.0471141
The complete DNA sequence of yeast chromosome III,3.7196598,8.666462
Rewriting the blueprint of life by synthetic genomics and genome engineering,6.9826713,3.2795055
Degradation of mRNA in Escherichia coli: An Old Problem with Some New Twists,2.7215009,1.9057323
[22] Using CLUSTAL for multiple sequence alignments,9.577017,9.165671
Distribution of Viruses and Dissolved DNA along a Coastal Trophic Gradient in the Northern Adriatic Sea,0.8251334,3.117159
Bacterioplankton Compositions of Lakes and Oceans: a First Comparison Based on Fluorescence In Situ Hybridization,1.2518433,8.131343
A strategy for the rapid multiple alignment of protein sequences,9.278607,9.534065
Deoxyribonucleic acid polymerase III of Escherichia coli. Purification and properties,6.461574,0.5768097
amoA ‐based consensus phylogeny of ammonia‐oxidizing archaea and deep sequencing of amoA genes from soils of four different geographic regions,2.630256,7.655299
Milestones Leading to the Genetic Engineering of Baculoviruses as Expression Vector Systems and Viral Pesticides,6.7981105,5.207952
"Identification and molecular characterization of csrA, a pleiotropic gene from Escherichia coli that affects glycogen biosynthesis, gluconeogenesis, cell size, and surface properties",7.174908,1.9904349
Enumeration and biomass estimation of planktonic bacteria and viruses by transmission electron microscopy,3.1828923,11.00171
Protistan Grazing on Marine Bacterioplankton,0.9085472,3.203417
Use of degenerate oligonucleotides for amplification of the nifH gene from the marine cyanobacterium Trichodesmium thiebautii,-2.5445793,6.9630136
Evolution of double‐stranded DNA viruses of eukaryotes: from bacteriophages to transposons to giant viruses,2.1120443,1.9790015
"TnAraOut, A transposon-based approach to identify and characterize essential bacterial genes",7.7472463,2.2355735
Nucleotide sequence of bacteriophage G4 DNA,6.1044564,10.113126
Tools for integrated sequence-structure analysis with UCSF Chimera,9.867983,9.360416
Use of rRNA fluorescence in situ hybridization for measuring the activity of single cells in young and established biofilms,3.46422,10.872914
Viruses as Partners in Spring Bloom Microbial Trophodynamics,0.07844574,7.0328593
The chromosome cycle of prokaryotes,5.0707293,0.7630441
The Chemistry of the Cell Nucleus,4.8469844,4.4469833
[15] Effective protein sequence comparison,9.607943,7.258004
"Cardiolipin activation of dnaA protein, the initiation protein of replication in Escherichia coli.",5.4041758,0.6740518
"Activity, abundance and diversity of nitrifying archaea and bacteria in the central California Current",0.747794,7.062415
Sequential Analysis and Observational Methods for the Behavioral Sciences,9.432839,8.337157
