paper_id,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22
W2139954387,0.0028683,0.3281075,0.0015126,0.00275,0.0014663,0.0013046,0.0009137,0.0012327,0.0012341,0.4700782,0.0010315,0.0017064,0.0667417,0.0009896,0.0009813,0.0008476,0.0014194,0.1108058,0.0009131,0.0006316,0.0005922,0.0012714,0.0006007
W2126809954,0.0030732,0.00155,0.0015907,0.2127162,0.3310653,0.0013715,0.0009605,0.001296,0.0012974,0.002098,0.0010845,0.3587993,0.0008253,0.0010404,0.0010316,0.0222597,0.0014922,0.0014064,0.0009599,0.000664,0.0514497,0.0013367,0.0006315
W2118746294,0.0024775,0.0609298,0.0013016,0.002372,0.0012618,0.0011226,0.0007862,0.0010608,0.0010619,0.5431202,0.0008876,0.0014686,0.0840196,0.0008516,0.0008444,0.0007294,0.0012215,0.2076943,0.0007857,0.0005435,0.0005096,0.0844329,0.0005169
W2077875794,0.0032365,0.0016625,0.0017057,0.0031076,0.0016535,0.0014711,0.0010303,0.0013901,0.0013916,0.4911666,0.0011632,0.0019243,0.0008853,0.2800127,0.0011065,0.0009558,0.0016006,0.1386835,0.0010296,0.0007122,0.0006678,0.0627658,0.0006774
W2098386120,0.0048281,0.0024739,0.002538,0.004602,0.0024602,0.0021889,0.001533,0.0020683,0.0020706,0.2510971,0.0932573,0.0028634,0.0013172,0.0016604,0.0016464,0.0014222,0.0023814,0.612865,0.001532,0.0010597,0.0009937,0.0021333,0.0010079
W1770972723,0.0020633,0.0010498,0.0010771,0.0019663,0.0010441,0.0009289,0.0006506,0.0008777,0.0008787,0.1144731,0.0007345,0.0012156,0.000559,0.0007046,0.0006987,0.0006035,0.0010107,0.2624319,0.0006501,0.0004497,0.0004217,0.6050828,0.0004277
W2132088881,0.0012124,0.0006166,0.0543046,0.2957646,0.0006132,0.0005456,0.0003821,0.0005155,0.0005161,0.0131643,0.0004314,0.1978931,0.0003283,0.0004139,0.138551,0.0003545,0.0005936,0.2438363,0.048668,0.0002641,0.0002477,0.0005317,0.0002512
W2121016876,0.2151234,0.000854,0.0008761,0.7523642,0.0008493,0.0007556,0.0005292,0.0191856,0.0007148,0.0011561,0.0005974,0.0009885,0.0004547,0.0005732,0.0005683,0.0004909,0.0008221,0.0007748,0.0005288,0.0003658,0.000343,0.0007364,0.0003479
W2081676964,0.0015428,0.000787,0.0008074,0.4661452,0.0007827,0.0006963,0.1459182,0.000658,0.0766515,0.0010655,0.0005506,0.1312831,0.000419,0.0005282,0.0005238,0.0004524,0.0247479,0.1443009,0.0004873,0.0003371,0.0003161,0.0006786,0.0003206
W1587481053,0.0035095,0.0017931,0.0018397,0.1809253,0.0017831,0.0015865,0.0011111,0.0014991,0.0015007,0.0024298,0.0012544,0.0020755,0.0009547,0.4980786,0.0011933,0.0010308,0.2909327,0.0016268,0.0011104,0.0007681,0.0007202,0.0015461,0.0007305
W1968872877,0.0025109,0.0012867,0.0013201,0.0024171,0.2076215,0.4581691,0.0007974,0.0010758,0.001077,0.0017419,0.0009003,0.1027677,0.0006852,0.0008637,0.2101207,0.0007398,0.0012387,0.0011675,0.0007969,0.0005512,0.0005169,0.0011096,0.0005242
W2143485490,0.1039877,0.1132585,0.0009465,0.4210086,0.0009175,0.0008163,0.0005717,0.0627264,0.0007722,0.0012496,0.0006454,0.0331251,0.0004912,0.0006192,0.000614,0.0380098,0.216895,0.000837,0.0005713,0.0003952,0.0003706,0.0007955,0.0003759
W2084251919,0.0857091,0.0537898,0.0011428,0.0020883,0.0620615,0.0009855,0.0006902,0.0009313,0.7811914,0.0015074,0.0007793,0.0012898,0.0005931,0.0007476,0.0007413,0.0006403,0.0010723,0.0010106,0.0006898,0.0004771,0.0004474,0.0009605,0.0004538
W1598985695,0.0016802,0.0008534,0.0008754,0.066233,0.2186019,0.000755,0.0005288,0.0007134,0.0007142,0.4117118,0.0421857,0.0009878,0.0004543,0.0005727,0.0005679,0.0004906,0.0008215,0.1876247,0.0005284,0.0003655,0.0412411,0.0007358,0.0207568
W2079706758,0.0018799,0.0009612,0.0009861,0.0018092,0.3675125,0.2688412,0.0005956,0.0008036,0.0008045,0.0013009,0.0006724,0.1497789,0.0005118,0.0006451,0.0810882,0.0005525,0.0009252,0.117718,0.0005952,0.0004117,0.0003861,0.0008288,0.0003916
W1984474722,0.0013662,0.0006967,0.0007148,0.4384445,0.0006928,0.0006164,0.0004317,0.0005825,0.0005831,0.0009429,0.0004874,0.3336686,0.000371,0.0004676,0.0170651,0.0004005,0.0006707,0.1484746,0.0518602,0.0002984,0.0002798,0.0006008,0.0002838
W2986925300,0.0031243,0.0900326,0.0016454,0.2971101,0.0834952,0.0014192,0.1606852,0.253624,0.0013425,0.0021697,0.0011221,0.0018566,0.000854,0.0010765,0.0010675,0.0513532,0.001544,0.0421168,0.0009933,0.0006871,0.0006443,0.0013831,0.0006535
W3211795435,0.0029038,0.5870447,0.0015124,0.1060651,0.0014662,0.0013045,0.0009136,0.2824545,0.001234,0.0019945,0.0010314,0.0017065,0.000785,0.0009895,0.0009812,0.0008476,0.0014192,0.0013376,0.000913,0.0006316,0.0005922,0.0012713,0.0006006
W2022910024,0.0021316,0.0010749,0.0011025,0.9481438,0.0010688,0.0009509,0.000666,0.0008986,0.0008996,0.0014547,0.0007519,0.0012442,0.0005723,0.0007213,0.0007153,0.0006179,0.0010346,0.0009751,0.0006656,0.0004604,0.0004317,0.0329804,0.0004379
W2159482845,0.0284751,0.0342367,0.0008218,0.0780098,0.1168532,0.0007087,0.0004964,0.5161006,0.0006704,0.0010856,0.0005604,0.0009272,0.0004265,0.0744843,0.0005331,0.0004605,0.1422451,0.0007268,0.000496,0.0003431,0.0003217,0.0006907,0.0003263
W2164643779,0.0033025,0.0016935,0.0017374,0.7558003,0.0016843,0.0014985,0.0010495,0.0014159,0.0014175,0.0599183,0.0011848,0.0019603,0.0009018,0.1188265,0.0011271,0.0009736,0.0016303,0.0015366,0.0010488,0.0007255,0.0196791,0.0014604,0.0194274
W2060528969,0.0575113,0.2210413,0.0009663,0.0017712,0.0009367,0.0008334,0.0005837,0.0007875,0.0007883,0.2806523,0.000659,0.0823771,0.1719341,0.1736673,0.0006269,0.0005415,0.0009067,0.0008546,0.0005833,0.0004035,0.0003783,0.0008122,0.0003837
W2138270253,0.0044688,0.0022882,0.0023476,0.5341796,0.0022756,0.0020247,0.001418,0.0019132,0.0019153,0.2822022,0.0016009,0.0026485,0.1458419,0.0015359,0.0015229,0.0013155,0.0022028,0.0020762,0.0014171,0.0009803,0.0009191,0.0019733,0.0009323
W2035507249,0.0020014,0.0010266,0.0010532,0.0680977,0.001021,0.0009084,0.0006362,0.0008583,0.0851303,0.6864472,0.0007182,0.0011882,0.026765,0.000689,0.0006832,0.0005902,0.0464949,0.0728996,0.0006358,0.0004398,0.0004124,0.0008853,0.0004182
W1652686173,0.0013284,0.049943,0.2947829,0.1337621,0.0006725,0.0005983,0.000419,0.0005653,0.1464918,0.0009155,0.0004731,0.0007829,0.00036,0.0004538,0.00045,0.0192716,0.000651,0.0006135,0.0004187,0.1619482,0.0983011,0.0865217,0.0002755
W2109555511,0.0019889,0.0010043,0.0010303,0.0018777,0.0009988,0.0008886,0.0006223,0.0008396,0.1742122,0.0013589,0.0007026,0.1798844,0.0149971,0.000674,0.0449131,0.0005773,0.2651321,0.2452317,0.0006219,0.0004302,0.0004034,0.0612016,0.0004091
W2169244146,0.0032812,0.0016623,0.0017055,0.0722109,0.1232967,0.5765503,0.0010301,0.0013898,0.0013914,0.002253,0.001163,0.0019241,0.0008851,0.0011157,0.0011063,0.1177773,0.0683764,0.0015083,0.0010294,0.0007121,0.0006677,0.0014335,0.0175298
W2145506897,0.0027885,0.0833987,0.0014651,0.1944166,0.0623391,0.0012636,0.0008849,0.2127568,0.0011953,0.001934,0.0009991,0.001653,0.0007604,0.0009585,0.0009504,0.000821,0.3187832,0.1087487,0.0008844,0.0006117,0.0005736,0.0012314,0.0005818
W2097706568,0.0023807,0.0012185,0.0012501,0.5759381,0.0012118,0.0010782,0.0007551,0.2600474,0.0010199,0.0016489,0.0008525,0.0014108,0.0006488,0.0008178,0.000811,0.0163531,0.001173,0.1280711,0.0007546,0.000522,0.0004894,0.0010508,0.0004964
W2015292449,0.0014569,0.0917239,0.0007677,0.6005606,0.000744,0.000662,0.0004636,0.2953292,0.0006262,0.0010136,0.0005234,0.0008668,0.0003984,0.0005022,0.0004979,0.0004301,0.0007202,0.0006788,0.0004633,0.0003205,0.0003005,0.0006452,0.0003048
W2022298315,0.0019549,0.0009928,0.0010185,0.0018652,0.0009873,0.0416705,0.0006152,0.00083,0.000831,0.001345,0.0180376,0.0011494,0.0005286,0.0006663,0.0006607,0.0005707,0.0009557,0.2794898,0.0006148,0.0004253,0.0003988,0.6439875,0.0004045
W2018276910,0.0021491,0.0011005,0.0011291,0.0020496,0.0010945,0.0009737,0.000682,0.0009201,0.5621315,0.0014899,0.0007699,0.0012743,0.000586,0.0007386,0.0007324,0.0006327,0.0184296,0.0811749,0.0006815,0.0004714,0.000442,0.3198984,0.0004484
W2120035402,0.0447563,0.1297331,0.000488,0.0008877,0.237187,0.2549657,0.0002947,0.0003977,0.0783981,0.087452,0.0546494,0.0005506,0.0002533,0.0003192,0.0371551,0.0002734,0.0004579,0.0704874,0.0002946,0.0002038,0.0001911,0.0004102,0.0001938
W2026916707,0.0011991,0.0006085,0.0006243,0.5280799,0.0006052,0.0476622,0.0003771,0.0005088,0.0186152,0.1614757,0.0004257,0.0007044,0.0797149,0.0004084,0.0398853,0.0003498,0.0005858,0.0005522,0.0003769,0.0002607,0.0002444,0.1035309,0.0132045
W2111555302,0.0016626,0.0008532,0.0393408,0.0015911,0.0008485,0.0007549,0.0005287,0.0007133,0.0007141,0.6993042,0.0005969,0.0009875,0.0004543,0.0005726,0.0005678,0.0004905,0.1637158,0.0007741,0.0005284,0.0003655,0.0465392,0.0007357,0.0373602
W2169895835,0.173802,0.0179853,0.0603856,0.0802736,0.0009579,0.0008522,0.1789803,0.2770369,0.0008061,0.0013047,0.0006738,0.001115,0.0005128,0.0006464,0.000641,0.0005537,0.0009272,0.0395966,0.1326866,0.0286523,0.0003869,0.0008305,0.0003924
W2136451426,0.0019423,0.0009926,0.0010183,0.148169,0.0009871,0.0307585,0.0006151,0.0008299,0.0008308,0.6386176,0.0006944,0.0011489,0.1669429,0.0006662,0.0006606,0.0005706,0.0009556,0.0009006,0.0006147,0.0004252,0.0003987,0.0008559,0.0004044
W1938241462,0.0011206,0.1073245,0.0635937,0.0010605,0.0005641,0.0005019,0.0626826,0.0004742,0.1212451,0.1733525,0.0003968,0.0006566,0.0341998,0.1307938,0.1452234,0.0003261,0.000546,0.0005146,0.0003513,0.000243,0.1132465,0.0413512,0.0002311
W2163892779,0.00303,0.3789742,0.0015897,0.0028917,0.0015409,0.0013708,0.0009601,0.5924705,0.0012967,0.0021014,0.0010839,0.0017937,0.0008249,0.0010398,0.0010311,0.0008907,0.0014916,0.0014057,0.0009594,0.0006637,0.0006223,0.001336,0.0006312
W2093049813,0.0043743,0.0022318,0.0022899,0.0041531,0.0022196,0.0019748,0.001383,0.001866,0.4719932,0.0030199,0.0015615,0.0025847,0.0011884,0.4435568,0.0440778,0.0012831,0.0021485,0.002025,0.0013821,0.0009561,0.0008965,0.0019246,0.0009093
W1970156673,0.0029787,0.0015243,0.0278305,0.1519735,0.0015159,0.0013488,0.0009446,0.0012745,0.0012759,0.0925705,0.0010665,0.0017646,0.0008117,0.0010231,0.0010145,0.0008763,0.2311307,0.0013831,0.000944,0.000653,0.0006123,0.474862,0.000621
W1992595091,0.0392386,0.0016638,0.001707,0.1926613,0.0016546,0.0014722,0.001031,0.0301219,0.0013926,0.4547167,0.001164,0.001926,0.0008859,0.0011167,0.0749114,0.0009565,0.0016017,0.0739526,0.0010304,0.0007128,0.0006683,0.1147359,0.0006779
W2166171121,0.0025027,0.0012696,0.0013026,0.689316,0.0012627,0.0011234,0.0007868,0.0263167,0.0010627,0.0017184,0.0008883,0.2454804,0.000676,0.0008522,0.000845,0.0007299,0.0012223,0.001152,0.0007863,0.0005439,0.00051,0.0191348,0.0005173
W1756039870,0.02126,0.0007672,0.0007869,0.0793029,0.0007629,0.0006787,0.0004754,0.0006414,0.0006421,0.0010382,0.0005367,0.0008878,0.0004085,0.0005149,0.0005105,0.000441,0.0007385,0.000696,0.000475,0.2844837,0.0003081,0.6033312,0.0003125
W2044530165,0.0036918,0.0018662,0.1931354,0.0034965,0.001856,0.3044608,0.0011565,0.0015603,0.001562,0.0025261,0.0013056,0.1215068,0.0009937,0.0012526,0.2520828,0.0010729,0.0017966,0.0016932,0.0011557,0.0007994,0.0007496,0.0995193,0.0007603
W1995924881,0.0033241,0.0016935,0.0017373,0.0031688,0.0016842,0.0014984,0.0692905,0.1723907,0.0014174,0.7018251,0.0011848,0.0019602,0.0009017,0.0011366,0.0011271,0.0009736,0.0016303,0.0015365,0.0010487,0.0007254,0.027595,0.0014603,0.0006899
W2167435540,0.0886174,0.0729576,0.0009864,0.0018078,0.0009562,0.0008507,0.0005958,0.0871278,0.0008047,0.0013022,0.0006726,0.0011131,0.1645711,0.1196273,0.0468472,0.1191141,0.0009256,0.0008723,0.0005954,0.0004119,0.2432596,0.0008291,0.0451541
W1998663222,0.0048716,0.002474,0.0025382,0.5196329,0.0024606,0.0394887,0.0015332,0.0020685,0.0020708,0.0033506,0.0017309,0.0028645,0.0013174,0.0016606,0.0016466,0.0014223,0.0023817,0.3697584,0.0015322,0.0010599,0.0009938,0.0021335,0.0310093
W1988037647,0.0006084,0.0003114,0.067375,0.000585,0.0003097,0.2683655,0.000193,0.0002604,0.0628907,0.5004268,0.0002179,0.0003606,0.0001658,0.000209,0.0002073,0.0147783,0.0002998,0.0002825,0.0001928,0.0001334,0.0001251,0.0621649,0.0195366
W2007093279,0.0072731,0.0036767,0.1219941,0.0068786,0.0036567,0.1329717,0.0022784,0.0030741,0.0757449,0.1194161,0.0025723,0.0042572,0.044661,0.0024678,0.002447,0.0544224,0.0035395,0.0033361,0.0022769,0.0649332,0.0762064,0.260418,0.0014979
W2073925485,0.0045709,0.0022874,0.0023467,0.0042584,0.0022748,0.0020239,0.0014175,0.0019125,0.0019146,0.0030945,0.0016003,0.0026492,0.001218,0.0015353,0.0015224,0.001315,0.002202,0.0020754,0.0014166,0.0009799,0.9544804,0.0019725,0.0009319
W2170343590,0.1767765,0.0031608,0.1287056,0.005963,0.0031435,0.1825404,0.0019588,0.0026428,0.0026457,0.004277,0.0022114,0.003659,0.06357,0.0021215,0.0021037,0.1259699,0.2770878,0.0028679,0.0019575,0.0013541,0.0012697,0.0027258,0.0012878
W2159482845,0.0014722,0.0723127,0.0007677,0.1480539,0.1366282,0.0006621,0.0004637,0.431093,0.0006263,0.0010146,0.0005235,0.0008661,0.0003984,0.0771539,0.000498,0.0004302,0.1084713,0.0006789,0.0004634,0.0003205,0.0003006,0.0006452,0.0161555
W4394728040,0.0025615,0.0414158,0.0013394,0.0024357,0.0931051,0.0011551,0.000809,0.0010915,0.2717563,0.0017686,0.2505007,0.001511,0.0152284,0.0008762,0.0008688,0.0007505,0.0833575,0.0011845,0.0008085,0.110046,0.0005244,0.0011257,0.1157798
W4295127969,0.0010946,0.0005599,0.0005743,0.0638074,0.2245115,0.0004953,0.0003469,0.0004681,0.0004686,0.0417608,0.0137141,0.0006479,0.0002981,0.0003757,0.0003726,0.0003218,0.0005389,0.6481214,0.0003467,0.0002398,0.0002249,0.0004827,0.0002281
W4296293122,0.0748003,0.0009136,0.0009373,0.2024573,0.0009086,0.0008083,0.1585304,0.3944476,0.0007646,0.0012375,0.0006391,0.0010576,0.0004864,0.0006132,0.000608,0.0005252,0.0008795,0.0008289,0.0998341,0.0003914,0.0386592,0.0192998,0.0003722
W1982444105,0.3996663,0.0005342,0.000548,0.001,0.0005312,0.0257063,0.1099857,0.0169916,0.0004471,0.057966,0.0003737,0.0006184,0.0679787,0.123607,0.0003555,0.0003071,0.1914463,0.0004847,0.0003308,0.0002288,0.0002146,0.0004606,0.0002176
W2176371198,0.0064669,0.0032773,0.0033621,0.1951425,0.003259,0.1269627,0.0020309,0.00274,0.0027431,0.0044503,0.0022928,0.1001718,0.001745,0.1025462,0.0021811,0.0018841,0.0031548,0.002974,0.0020295,0.0014039,0.0013164,0.3549017,0.0729639
W4293241835,0.0689175,0.0024754,0.0025393,0.0046353,0.0024613,0.0021899,0.0015336,0.0020692,0.19747,0.0033499,0.0017314,0.002867,0.0013177,0.0016611,0.2063848,0.0014228,0.0023824,0.0022455,0.0015326,0.0010602,0.0009941,0.0021341,0.4866249
W2465746813,0.0004208,0.0002151,0.0002207,0.0004017,0.0002139,0.0001903,0.0001333,0.2007033,0.00018,0.0002913,0.0001505,0.000249,0.0407164,0.0001444,0.0001432,0.7546392,0.0002071,0.0001952,0.0001332,9.21E-05,8.64E-05,0.0001855,8.76E-05
W2097403532,0.0017165,0.0448735,0.0009011,0.4629125,0.0008735,0.0007771,0.0005443,0.375853,0.0007351,0.0011886,0.0006145,0.0586437,0.0004677,0.0005895,0.0005846,0.0005049,0.0330033,0.0007969,0.0005439,0.0003763,0.0003528,0.012789,0.0003578
W2082810442,0.002326,0.0011868,0.0012177,0.0022155,0.0011804,0.0010501,0.2536669,0.0009923,0.2232797,0.0016091,0.0008303,0.0013742,0.0006319,0.3981587,0.0007899,0.0006823,0.0011425,0.0459296,0.000735,0.0005084,0.0589859,0.0010234,0.0004835
W2166153420,0.0022505,0.0011422,0.0011717,0.0693985,0.0011358,0.0010105,0.0007077,0.0009549,0.0009559,0.7136617,0.000799,0.0013222,0.0006081,0.0007666,0.0007601,0.0006566,0.0588772,0.1407151,0.0007073,0.0004893,0.0004588,0.0009849,0.0004653
W2008541744,0.0032142,0.1340155,0.0016753,0.0030427,0.001624,0.0014448,0.0010119,0.0013652,0.0013667,0.0022117,0.0011424,0.0018903,0.0485838,0.1788526,0.0511437,0.3146493,0.001572,0.1366804,0.0010112,0.0006995,0.1107293,0.0014081,0.0006653
W2332039551,0.030864,0.000397,0.0004073,0.0007411,0.0003948,0.0904846,0.0241368,0.0003319,0.0003323,0.3680295,0.1582895,0.0004596,0.0002114,0.0002664,0.0294217,0.0856861,0.0003821,0.0608208,0.012406,0.0001701,0.0001595,0.1354458,0.0001617
W2070790580,0.0457881,0.0014991,0.0015383,0.04089,0.0014908,0.0215284,0.000929,0.0012534,0.0012548,0.0020316,0.0010488,0.0017351,0.0007982,0.0010062,0.1405786,0.0008618,0.0014432,0.0013602,0.0009284,0.0204736,0.0006022,0.7103495,0.0006108
W2011443458,0.0032277,0.1932601,0.0016765,0.003048,0.0016252,0.0014459,0.1115647,0.0013663,0.1885815,0.1179825,0.0011433,0.0018914,0.0008701,0.0010968,0.0010876,0.0009394,0.0249256,0.0014827,0.001012,0.1144292,0.0582983,0.0769399,0.0921054
W1518689773,0.0023424,0.0012017,0.0012328,0.002241,0.0011951,0.0010633,0.0007447,0.0010047,0.0010058,0.2679674,0.0008408,0.0013909,0.7099574,0.0008066,0.0007998,0.0006909,0.0011569,0.0010904,0.0007442,0.0005148,0.0004827,0.0010363,0.0004896
W2068370729,0.003246,0.1359146,0.0017055,0.0030938,0.0016533,0.0014709,0.0010302,0.0013899,0.1301457,0.5555263,0.0011631,0.0019242,0.0889058,0.0631397,0.0011064,0.0009557,0.0016003,0.0015084,0.0010295,0.0007122,0.0006678,0.0014336,0.0006773
W4386498269,0.2206806,0.1213051,0.0010078,0.0018407,0.4046405,0.0008692,0.0006087,0.0008213,0.0008222,0.0013297,0.0006872,0.0011377,0.0259373,0.0430132,0.0006538,0.0005647,0.0785105,0.0008913,0.0006083,0.0004208,0.0924023,0.0008471,0.0004002
W4283327986,0.0983229,0.0011144,0.0011432,0.059173,0.116965,0.1921856,0.0006905,0.0009317,0.0009327,0.1938415,0.0007796,0.0012899,0.0005933,0.0007479,0.0007416,0.0006406,0.0010727,0.001011,0.0006901,0.0004774,0.0921553,0.0807733,0.1537268
W4214851683,0.0032731,0.0016622,0.0017055,0.1342667,0.0016532,0.0530795,0.00103,0.0013897,0.0013913,0.1209522,0.0730839,0.1737871,0.0008851,0.0894491,0.0011063,0.0009556,0.3343018,0.0015081,0.0010294,0.0007121,0.0006677,0.0014334,0.0006772
W3172432525,0.0012142,0.0006167,0.1307148,0.0011546,0.0006133,0.0377186,0.0003821,0.0005156,0.0826516,0.0912612,0.0004314,0.2028695,0.3776892,0.0004139,0.0004104,0.0003545,0.0005937,0.0005595,0.0003819,0.0002642,0.0132782,0.0005318,0.055379
W2760705314,0.0710885,0.0139419,0.0187028,0.1124716,0.0007634,0.0119622,0.0004757,0.0006418,0.0006425,0.6761563,0.0005371,0.0008886,0.0463149,0.0409377,0.0005109,0.0004413,0.000739,0.0006965,0.0004754,0.0003288,0.0003083,0.000662,0.0003127
W2064911222,0.025858,0.15904,0.0136636,0.0248888,0.0132453,0.0117848,0.0082537,0.0111359,0.0111481,0.6025677,0.0093185,0.0154202,0.007092,0.0089396,0.0088645,0.0076571,0.0128216,0.0120845,0.0082483,0.0057057,0.00535,0.0114854,0.0054264
W4306809753,0.0012769,0.0006475,0.0623055,0.0012104,0.2224233,0.0005729,0.0004012,0.0512265,0.2815039,0.1297778,0.000453,0.0007498,0.0003447,0.0243852,0.0004309,0.008929,0.0006233,0.2109777,0.0004009,0.0002774,0.0002601,0.0005583,0.0002638
W4387451784,0.0019022,0.0009617,0.0009866,0.0017972,0.1213543,0.0236818,0.0005959,0.0336523,0.0008049,0.6342666,0.1333458,0.0011133,0.000512,0.0006454,0.00064,0.0005528,0.0009257,0.0008725,0.0005955,0.0166646,0.0003863,0.0008292,0.0229134
W4389362949,0.0162298,0.000774,0.000794,0.1159616,0.2121589,0.0006848,0.0513464,0.0618251,0.0006478,0.1466713,0.0005415,0.0008961,0.0399052,0.0005195,0.0538715,0.2796064,0.0007451,0.0007022,0.0004793,0.0003316,0.0143252,0.0006674,0.0003153
W3133077985,0.1344379,0.0014749,0.0015133,0.0027544,0.0014668,0.001305,0.000914,0.3427433,0.0012345,0.4256635,0.0010319,0.0017077,0.0007853,0.0009899,0.0009816,0.0008479,0.0014199,0.0013382,0.0009134,0.0006318,0.0005924,0.0012718,0.0739805
W1988322301,0.3698297,0.0787419,0.0037673,0.0068473,0.003652,0.0032491,0.0022756,0.1140348,0.0030736,0.0049689,0.0025691,0.1332331,0.0019553,0.0024647,0.002444,0.0021111,0.003535,0.0033317,0.0022741,0.2495044,0.001475,0.0031665,0.0014961
W2065880164,0.2625156,0.0801116,0.0013587,0.002468,0.001317,0.0011716,0.0008206,0.1445548,0.0011083,0.1537552,0.2108366,0.001533,0.0007051,0.1300246,0.0008813,0.0007613,0.0012748,0.0012015,0.00082,0.0005673,0.0005319,0.0011419,0.0005395
W4327550249,0.0023976,0.8763272,0.0012494,0.0022832,0.0012112,0.0010776,0.0007547,0.0010182,0.0010193,0.0016477,0.000852,0.1015967,0.0006485,0.0008174,0.0008105,0.0007001,0.0011724,0.001105,0.0007542,0.0005217,0.0004892,0.0010502,0.0004962
W4255193062,0.0120619,0.006144,0.0063028,0.0114474,0.0061097,0.005436,0.0038072,0.0051367,0.0051423,0.0083233,0.0042983,0.0071111,0.0032713,0.0041236,0.0040889,0.1000432,0.0059143,0.0055743,0.5580259,0.0026319,0.0024678,0.2300351,0.002503
W4243683031,0.0128902,0.006584,0.006755,0.1855835,0.163724,0.0058258,0.0040802,0.0055051,0.0055111,0.008905,0.0046066,0.007622,0.0035059,0.0044193,0.0043822,0.0037853,0.006339,0.0059744,0.0040776,0.5389186,0.0026448,0.0056779,0.0026826
W2065687701,0.002897,0.0014747,0.2473792,0.0027598,0.0014666,0.114447,0.0009138,0.0012329,0.213237,0.0019958,0.0010317,0.0017076,0.0007852,0.0009897,0.1485004,0.0008477,0.0014195,0.001338,0.0009132,0.1501363,0.0005923,0.1033337,0.0006008
W1569060300,0.0131182,0.0065836,0.0067539,0.0122529,0.0065471,0.0058251,0.0040797,0.0055044,0.0055104,0.3860092,0.004606,0.00762,0.3253601,0.1718501,0.0043816,0.0037848,0.0063379,0.0059734,0.0040771,0.0028203,0.0026445,0.0056776,0.0026822
W4296032638,0.0020129,0.6289824,0.0010539,0.3233,0.0010213,0.0009087,0.0006364,0.0008586,0.0008596,0.0312363,0.0007185,0.0011887,0.0005468,0.0006893,0.0006835,0.0005904,0.0009886,0.0009318,0.000636,0.0004399,0.0004125,0.0008856,0.0004184
W2087671769,0.0099311,0.0051098,0.1029495,0.0608292,0.0050821,0.0045215,0.0031667,0.0042726,0.0042772,0.0069122,0.0035752,0.2588255,0.002721,0.0034299,0.003401,0.0029378,0.0049192,0.0046365,0.0031646,0.0021891,0.0020526,0.0044067,0.4966889
W2097775940,0.0014916,0.1482676,0.0918881,0.0014249,0.0007567,0.0006732,0.0004715,0.0006362,0.1813659,0.0010311,0.0005323,0.000881,0.0236589,0.2225649,0.0005064,0.0004374,0.320653,0.0006904,0.0004712,0.000326,0.0003056,0.0006561,0.00031
W4404349982,0.0022888,0.5324705,0.0403751,0.0021643,0.171701,0.0595267,0.0007169,0.0009672,0.0009683,0.0842,0.0391084,0.0013392,0.000616,0.0007765,0.0007699,0.0006651,0.057151,0.0010497,0.0007164,0.0004956,0.0004647,0.0009976,0.0004713
W1569060300,0.0263634,0.001129,0.0011583,0.0021155,0.0011228,0.000999,0.0006996,0.000944,0.000945,0.3584538,0.0007899,0.0013068,0.197063,0.1912842,0.0905327,0.0006491,0.0204148,0.0010244,0.0006992,0.0004837,0.0320126,0.0693494,0.00046
W1569060300,0.0016445,0.1046566,0.0554273,0.0015714,0.0008334,0.0609982,0.0005193,0.0007006,0.0007014,0.374373,0.0005863,0.0009701,0.19274,0.1583372,0.0178032,0.0004817,0.0008067,0.0007603,0.0005189,0.000359,0.024147,0.0007226,0.0003414
W2030564603,0.0039367,0.0765624,0.0020402,0.3736595,0.0019778,0.0017596,0.0566015,0.0016627,0.0016645,0.0026919,0.0013913,0.0023026,0.0010589,0.0013347,0.0013235,0.1425444,0.0019145,0.0018043,0.3195933,0.0008519,0.0007988,0.0017148,0.0008102
W4392544734,0.0012158,0.79551,0.0006327,0.0011646,0.0006133,0.0005457,0.0003822,0.0400821,0.0005162,0.000835,0.0088908,0.0007139,0.0003284,0.1356134,0.0004104,0.0003545,0.0005937,0.0005595,0.0003819,0.0002642,0.0096087,0.0005318,0.0002512
W4404349982,0.187845,0.4493797,0.0007149,0.2419558,0.0527559,0.0147005,0.0004318,0.0005826,0.0005832,0.0009441,0.0004875,0.0008066,0.000371,0.0004677,0.0004638,0.0004006,0.0445824,0.0006322,0.0004315,0.0002985,0.0002799,0.0006009,0.0002839
W2043170430,0.0028371,0.0014285,0.0014656,0.1226105,0.0014206,0.0865361,0.0008852,0.0011943,0.0011956,0.3936848,0.0009994,0.0016533,0.0007606,0.0009588,0.0009507,0.0664094,0.0013752,0.0012961,0.0228045,0.0006119,0.0005738,0.225259,0.0630888
W4254275792,0.0014993,0.0354824,0.0007876,0.3385307,0.0007635,0.0006793,0.2564198,0.0428206,0.0006426,0.0010396,0.0784891,0.2234995,0.0004088,0.0005153,0.0005109,0.0004413,0.0007391,0.0006965,0.0144223,0.0003289,0.0003084,0.000662,0.0003128
