paper_id,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22
W2055305007,0.0014353,0.0007251,0.0007439,0.0168583,0.0007212,0.0006416,0.0004493,0.0006063,0.0006069,0.03285,0.0636725,0.1378271,0.0003861,0.0004867,0.306751,0.0211866,0.0006981,0.3661742,0.000449,0.0003106,0.0002913,0.0458333,0.0002954
W2150550043,0.0017703,0.0008954,0.0009186,0.2302069,0.3598835,0.0007922,0.0682172,0.0007486,0.0007494,0.0012121,0.0006264,0.0010371,0.0004767,0.0006009,0.0005959,0.3271599,0.000862,0.0008124,0.0005545,0.0003836,0.0003596,0.0007721,0.0003648
W2787022622,0.0023819,0.0012026,0.0215625,0.031452,0.001196,0.001064,0.0007452,0.0010054,0.362408,0.043378,0.1183417,0.0013919,0.0006403,0.0569663,0.0008003,0.0006913,0.0536951,0.2978078,0.0007447,0.0005151,0.000483,0.001037,0.0004899
W2075716829,0.4205205,0.0020332,0.002086,0.0037961,0.0362028,0.001799,0.00126,0.0017,0.0017018,0.0027512,0.0639227,0.3006011,0.0010826,0.0013647,0.0013532,0.0011689,0.0019573,0.0350729,0.0560817,0.000871,0.0600918,0.0017533,0.0008284
W2164698321,0.0024563,0.0012347,0.0012666,0.0023169,0.1587867,0.0010924,0.0007651,0.0010322,0.0010333,0.2139657,0.0008637,0.04696,0.0006574,0.0339175,0.0008217,0.0007098,0.527643,0.0011202,0.0007646,0.0005289,0.0004959,0.0010646,0.000503
W2114938008,0.3769753,0.0322697,0.0013596,0.0024891,0.001318,0.1887417,0.0008212,0.1106989,0.0011092,0.1242398,0.0009271,0.0015344,0.0007056,0.0008894,0.000882,0.0007618,0.058419,0.0012024,0.0008207,0.0005677,0.0005323,0.0011427,0.0915926
W2080283023,0.1118549,0.0008303,0.0008518,0.390144,0.0008257,0.0007346,0.0005145,0.0006942,0.0006949,0.0159231,0.1181426,0.2597955,0.0004421,0.0005572,0.0331117,0.0004773,0.0007993,0.0007533,0.0005142,0.0003557,0.0003335,0.0613114,0.0003383
W2041755048,0.1430032,0.0007081,0.0007265,0.0013205,0.1175504,0.0006265,0.0195326,0.000592,0.0541839,0.0009582,0.0992696,0.0008198,0.000377,0.0194687,0.3004035,0.0004071,0.0006817,0.2074032,0.0004385,0.0003033,0.0303267,0.0006106,0.0002885
W2143918999,0.0557579,0.0005928,0.0006082,0.0965891,0.0005895,0.0005245,0.0437106,0.0004956,0.0004962,0.1885344,0.0004147,0.0006862,0.0003156,0.0835033,0.0003945,0.1104857,0.3232904,0.0384865,0.0003671,0.0002539,0.0002381,0.0534239,0.0002415
W2055043387,0.0020631,0.0010379,0.0010646,0.7461209,0.001032,0.0009182,0.0006431,0.2356202,0.0008686,0.0014056,0.000726,0.0012013,0.0005526,0.0006965,0.0006907,0.0005966,0.000999,0.0009416,0.0006426,0.0004445,0.0004168,0.0008949,0.0004228
W2106882534,0.0019416,0.0810587,0.0010185,0.696074,0.0009873,0.0008784,0.0006152,0.2064263,0.0008309,0.0013436,0.0006945,0.001149,0.0005286,0.0006663,0.0006607,0.0005707,0.0009557,0.0009007,0.0006148,0.0004253,0.0003988,0.000856,0.0004044
W2111647009,0.0020317,0.0341363,0.0010651,0.5744857,0.0010325,0.0009186,0.0006434,0.2698577,0.000869,0.0014052,0.0007263,0.069242,0.0005528,0.0006968,0.000691,0.0005968,0.0372843,0.000942,0.0006429,0.0004447,0.000417,0.0008953,0.000423
W2094591409,0.0012982,0.0006614,0.0006785,0.0012308,0.0006578,0.0005852,0.0174546,0.000553,0.0483281,0.0008952,0.0535822,0.0007657,0.0003522,0.0004439,0.4665589,0.0003802,0.0006367,0.4031392,0.0004096,0.0002833,0.0002657,0.0005703,0.0002695
W4243683031,0.0016875,0.0008537,0.0008758,0.0015915,0.093502,0.0007554,0.000529,0.0007138,0.0217049,0.0011552,0.0005973,0.0009886,0.0004546,0.0113116,0.1860585,0.0004908,0.0008218,0.2662869,0.0005287,0.4076656,0.0003429,0.0007362,0.0003478
W2134375163,0.0333383,0.0006565,0.0006736,0.0012268,0.2858442,0.0005809,0.6698552,0.0005489,0.0005495,0.0008889,0.0004593,0.0007603,0.0003496,0.0004407,0.000437,0.0003774,0.000632,0.0005957,0.0004066,0.0002813,0.0002637,0.0005662,0.0002675
W1996568337,0.0017588,0.0008958,0.000919,0.2001591,0.0548254,0.0007926,0.0005551,0.0149846,0.0007498,0.4222475,0.0006267,0.0010368,0.000477,0.0006012,0.0005962,0.0114431,0.2008279,0.0840679,0.0005547,0.0003837,0.0003598,0.0007724,0.0003649
W1980602152,0.0024513,0.001252,0.0012845,0.0023446,0.0012452,0.0011078,0.0007758,0.0010468,0.0010479,0.5880572,0.0008759,0.0014494,0.0006666,0.0008403,0.0008333,0.0007198,0.2869847,0.001136,0.0877148,0.0005363,0.0005029,0.0010796,0.0160474
W2294707565,0.0024027,0.0012179,0.0012496,0.0022715,0.0012112,0.0010777,0.0007547,0.0010183,0.1063214,0.0016484,0.0008521,0.0589878,0.0006485,0.132203,0.0008106,0.0985846,0.0011725,0.0011051,0.0007543,0.0005218,0.5836399,0.0010503,0.0004962
W2079094106,0.1859727,0.0008227,0.0202958,0.0015447,0.0008182,0.0007279,0.0005098,0.0006879,0.0006886,0.0011142,0.0005756,0.1755224,0.0004381,0.0005522,0.1801195,0.000473,0.000792,0.2635662,0.0005095,0.0003524,0.1348596,0.0007095,0.0283476
W2973313700,0.0014905,0.0007607,0.0007805,0.0014205,0.0007565,0.2893844,0.0004714,0.0113562,0.0006367,0.6255389,0.0159295,0.0107732,0.000405,0.0358617,0.0005063,0.0004373,0.0007323,0.0006902,0.0004711,0.0003259,0.0003055,0.000656,0.0003099
W2043268620,0.002364,0.0012019,0.0012331,0.4274251,0.0011954,0.0010635,0.0007448,0.0010049,0.001006,0.2072119,0.0008409,0.0013913,0.00064,0.0489318,0.0007999,0.000691,0.0011571,0.1936998,0.0007443,0.0005149,0.0004828,0.1051662,0.0004897
W2037084529,0.0016965,0.0008697,0.1130672,0.0016239,0.5232858,0.0007695,0.046693,0.0007271,0.0784921,0.0011773,0.0698547,0.0010068,0.0004631,0.0005837,0.0005788,0.0005,0.034818,0.0007891,0.0005386,0.1210116,0.0003493,0.00075,0.0003543
W2108212751,0.0013253,0.0006763,0.0006939,0.058107,0.2298083,0.0005984,0.0004191,0.013791,0.3267933,0.0473403,0.1150384,0.0291727,0.0003601,0.0453959,0.0004501,0.0003888,0.0006511,0.0432134,0.0004188,0.0842271,0.0002717,0.0005832,0.0002755
W2144779133,0.1578658,0.0005852,0.03305,0.2270528,0.000582,0.0005178,0.0003627,0.0004893,0.0004898,0.0007925,0.0004094,0.0605732,0.0003116,0.0109217,0.0003895,0.0003364,0.4604588,0.000531,0.0003624,0.0002507,0.0171113,0.0005047,0.0260513
W2067865656,0.0540728,0.0008232,0.0324379,0.0015418,0.3155421,0.1053426,0.0005101,0.0006883,0.1565695,0.0764141,0.0005759,0.0145879,0.0004383,0.0005525,0.0859256,0.0004733,0.0260409,0.0007469,0.0005098,0.109941,0.0152204,0.0007099,0.0003354
W2113350312,0.0030239,0.0015495,0.0015896,0.0028892,0.5659757,0.0013711,0.0009602,0.0012955,0.0012969,0.1908656,0.0010841,0.0017948,0.000825,0.0229305,0.0010313,0.0008908,0.0014918,0.1161714,0.0009596,0.054092,0.0006224,0.0013362,0.0259529
W2169409681,0.0571851,0.0008011,0.014859,0.0014972,0.0007968,0.0007089,0.0004965,0.0006698,0.4319883,0.001084,0.0005605,0.0640243,0.0580261,0.0005377,0.1030561,0.0004606,0.0007712,0.2020891,0.0004961,0.0003432,0.0277661,0.0314558,0.0003264
W1983384197,0.0014938,0.000755,0.0787946,0.0014247,0.0007508,0.000668,0.0004678,0.0006312,0.5769268,0.068909,0.0005282,0.0008739,0.000402,0.0253307,0.0005025,0.000434,0.0007268,0.000685,0.0004675,0.0003234,0.0509232,0.1876733,0.0003076
W2074902188,0.0311278,0.0165511,0.1002705,0.0018154,0.0009672,0.0008604,0.0006026,0.0008131,0.0887438,0.0013165,0.0630414,0.0011257,0.0005178,0.0006527,0.1479767,0.0005591,0.1840012,0.0008824,0.0006022,0.2273094,0.0003906,0.1026596,0.0272132
W2013404388,0.0018804,0.0181892,0.000977,0.2591822,0.0009471,0.0008426,0.0005901,0.0007962,0.0007971,0.2495699,0.0006663,0.0011023,0.0368193,0.0006392,0.2818388,0.0005475,0.075753,0.000864,0.0005897,0.000408,0.0237284,0.0428837,0.000388
W2028622989,0.0025154,0.0012875,0.0013208,0.4617694,0.0012804,0.0591157,0.1013732,0.0010765,0.0010776,0.1175377,0.0009007,0.0014901,0.1002984,0.0008641,0.0008569,0.0232241,0.0925726,0.0279382,0.0007973,0.0005515,0.0005171,0.0011102,0.0005245
W1629931862,0.0023817,0.1776714,0.035383,0.0022785,0.0012121,0.0010784,0.0007553,0.001019,0.0010201,0.0016516,0.0008527,0.0014109,0.3895392,0.2182768,0.0396594,0.0007007,0.0011733,0.0011059,0.0007548,0.0005221,0.0004896,0.1205669,0.0004966
W2121009717,0.0021914,0.001114,0.2455909,0.0020807,0.0011078,0.5153653,0.0676047,0.0009313,0.0009324,0.0015077,0.0007793,0.1272567,0.0005931,0.0264512,0.0007414,0.0006404,0.0010723,0.0010107,0.0006898,0.0004772,0.0004474,0.0009606,0.0004538
W2001447987,0.0020148,0.0010267,0.0010533,0.0019132,0.0010211,0.0009084,0.0006362,0.0008584,0.0008593,0.00139,0.0007183,0.0561864,0.0005466,0.0006891,0.6219241,0.0005902,0.0009883,0.1314911,0.0006358,0.1246246,0.0004124,0.0008853,0.0486265
W2072590703,0.0025217,0.0712536,0.001321,0.0023992,0.2575939,0.0011392,0.0007979,0.0890123,0.1854738,0.0017439,0.0009008,0.001491,0.0006856,0.0008642,0.1675619,0.0007402,0.0232457,0.0011682,0.0007974,0.0580914,0.1295623,0.0011103,0.0005246
W1587333710,0.0304341,0.000923,0.0210634,0.0017277,0.000918,0.0640763,0.000572,0.0007717,0.072898,0.0012496,0.0238532,0.0888648,0.0004915,0.0006195,0.0006143,0.0005306,0.0008886,0.0008375,0.0005716,0.6689949,0.0003708,0.0183528,0.0003761
W2103441770,0.0020694,0.1294068,0.0010672,0.7987462,0.0010345,0.0009204,0.0006446,0.037699,0.0008707,0.0014075,0.0007278,0.0180897,0.0005539,0.0006982,0.0006923,0.000598,0.0010014,0.0009438,0.0006442,0.0004456,0.0004178,0.000897,0.0004238
W2126801593,0.0009821,0.0005016,0.1968137,0.0009353,0.0004988,0.0004438,0.0003108,0.0004194,0.0293628,0.228161,0.0003509,0.0005806,0.010267,0.0545783,0.0003338,0.0002884,0.138601,0.0004551,0.0003106,0.0002149,0.021377,0.2961636,0.0180498
W1701869895,0.0026941,0.0013843,0.0014202,0.0025894,0.0013767,0.0700203,0.0008578,0.0011574,0.0011587,0.0018742,0.0009685,0.0016027,0.0007371,0.0009291,0.0009213,0.0007958,0.0013327,0.0723903,0.0008573,0.000593,0.0005561,0.8332189,0.000564
